net,length_um
net1250,655.71µm
net204,655.63µm
net1006,654.79µm
net813,654.66µm
net1171,654.54µm
net1246,654.5µm
net1151,654.08µm
net1127,653.22µm
net1597,653.21µm
net1618,653µm
net526,652.45µm
net225,652.34µm
net1091,651.47µm
net572,651.31µm
net630,651.17µm
net830,650.82µm
net997,650.64µm
net1517,650.18µm
net755,650.02µm
net1244,648.96µm
net1195,648.67µm
net1429,648.45µm
net1309,646.59µm
net539,646.06µm
net1136,645.72µm
net1542,645µm
net1561,644.81µm
net1307,644.4µm
net1142,644.02µm
net1613,643.09µm
net1240,642.61µm
net622,642.51µm
net1338,641.36µm
net815,641.29µm
net940,641.13µm
net1524,640.315µm
net1096,640.04µm
net651,639.93µm
net1519,639.12µm
net702,638.54µm
net687,638.41µm
net542,638.32µm
net801,638.13µm
net1393,637.24µm
net586,636.49µm
net899,633.94µm
net1128,633.84µm
tea.data_in\[13\],633.33µm
net865,632.975µm
net202,632.67µm
net1273,631.71µm
net1590,630.29µm
net802,629.74µm
net911,627.23µm
net576,625.95µm
_33096_,625.66µm
net251,624.45µm
net1237,624.38µm
net549,624.22µm
net764,623.58µm
net1296,623.49µm
net1334,622.94µm
net774,622.86µm
net607,621.45µm
net1316,621.06µm
net987,620.495µm
net1218,619.98µm
net974,619.12µm
net579,618.97µm
net894,618.91µm
net863,618.4µm
net1326,618.2µm
net1587,617.95µm
net1342,617.8µm
net254,617.675µm
_32117_,616.72µm
net1271,615.45µm
net577,615.04µm
net588,614.79µm
net761,614.3µm
net613,612.45µm
net205,612.3µm
net1547,611.79µm
net868,610.99µm
net611,610.81µm
net1551,610.68µm
net1154,608.89µm
net1383,608.46µm
net190,607.77µm
net853,607.03µm
net188,605.7µm
net1297,605µm
net624,604.88µm
net1514,604.67µm
net867,603.835µm
net627,603.05µm
net1105,602.81µm
net991,601.83µm
_32447_,601.36µm
net1581,601.26µm
net992,600.67µm
net1133,600.48µm
net239,600.4µm
net1280,600.19µm
_32381_,598.48µm
net1294,597.79µm
net1168,597.78µm
net199,597.77µm
net1335,596.92µm
net1332,596.6µm
net692,595.89µm
net1222,595.16µm
net921,594.96µm
net1231,594.45µm
net632,594.09µm
net253,592.76µm
net256,591.96µm
net532,591.96µm
net1457,591.77µm
net883,591.7µm
net595,591.47µm
net557,589.7µm
net675,589.15µm
net192,589µm
net1204,588.93µm
net833,588.74µm
net597,587.87µm
net1378,587.675µm
net234,587.51µm
net878,586.64µm
net887,585.56µm
_33195_,585.52µm
net238,585.14µm
net626,584.89µm
net716,584.05µm
_32326_,583.83µm
net1134,583.765µm
net1525,583.05µm
net939,582.51µm
net855,581.85µm
net1181,581.51µm
net1497,580.85µm
net1074,580.655µm
net788,580.53µm
net337,580.08µm
net570,580µm
net1544,578.89µm
net1256,578.64µm
net149,578.39µm
net165,577.85µm
net327,576.99µm
net847,576.24µm
net870,575.18µm
net1447,575.16µm
net1439,574.64µm
net1608,574.46µm
net1153,574.45µm
_32227_,573.73µm
net1402,573.72µm
tea.data_in\[23\],572.49µm
net1553,572.34µm
net1488,572.33µm
net146,571.87µm
net674,570.31µm
net1412,569.51µm
net1234,569.36µm
net832,568.57µm
net1220,567.96µm
_32568_,567.69µm
net888,567.34µm
net800,566.61µm
net1532,566.23µm
net176,566.16µm
net1442,565.74µm
net1589,565.63µm
net848,565.51µm
net1348,565.29µm
net1410,565.14µm
net546,564.85µm
net1505,563.06µm
net1113,562.96µm
net1212,562.88µm
net551,562.73µm
net1407,562.49µm
net891,561.82µm
net1202,561.66µm
net610,559.69µm
net969,559.34µm
net705,559.185µm
net1498,557.72µm
net1235,556.66µm
net730,556µm
net983,555.4µm
net1076,554.16µm
net1355,553.8µm
net1427,553.77µm
net1357,553.55µm
net1353,553.5µm
net851,552.84µm
net914,552.36µm
_30748_,551.94µm
net850,551.62µm
net658,551.43µm
tea.data_in\[48\],550.595µm
net993,550.42µm
net1460,550.3µm
net1586,549.305µm
net1209,548.95µm
net995,546.9µm
net325,546.65µm
net1315,546.52µm
net203,546.38µm
net938,545.645µm
net1263,545.02µm
net1267,544.94µm
net620,544.595µm
net1528,544.16µm
net152,543.67µm
net1014,543.66µm
net178,543.48µm
net150,543.35µm
net182,543.17µm
_29690_,542.83µm
net143,542.82µm
net717,542.37µm
net718,541.77µm
net240,539.96µm
net871,539.24µm
net593,538.4µm
net1022,538.02µm
_32733_,537.47µm
net1467,536.64µm
net672,536.48µm
net212,535.62µm
net1075,534.28µm
net1217,534.28µm
net1190,534.27µm
net846,534.03µm
net996,533.37µm
net552,533.24µm
net231,532.91µm
net948,532.51µm
net1601,532.17µm
net736,531.71µm
net1203,531.5µm
net1469,531.01µm
net930,530.93µm
net1536,530.91µm
_32128_,530.85µm
net910,530.84µm
net1319,530.56µm
net1343,530.42µm
net1526,530.34µm
net1471,530.21µm
net971,529.57µm
net548,529.2µm
net643,528.3µm
net1043,527.49µm
net743,527.1µm
net793,526.98µm
net108,526.74µm
net843,526.59µm
tea.data_in\[14\],525.8µm
net924,525.78µm
net1021,525.64µm
net1247,525.5µm
net1248,525.46µm
net527,525.17µm
net1446,525.12µm
net1579,524.82µm
net655,523.99µm
net618,523.505µm
net602,523.43µm
net965,523.09µm
net1092,522.42µm
net803,522.16µm
net1314,521.69µm
net638,521.3µm
net1555,520.88µm
net828,520.855µm
net662,519.8µm
_32799_,519.78µm
net1300,519.42µm
net248,519.16µm
net754,518.85µm
net541,518.73µm
net1303,518.68µm
net1508,518.335µm
net1324,517.56µm
net1036,517.555µm
net694,517.25µm
net1207,517.1µm
net737,516.32µm
tea.data_in\[16\],516.24µm
net769,516.03µm
net912,515.62µm
net862,515.57µm
net1034,515.55µm
net706,515.54µm
net1111,514.91µm
net673,514.61µm
net1018,514.445µm
net766,514.37µm
net1580,514.32µm
net174,513.88µm
net1189,513.68µm
_32139_,512.68µm
net561,512.43µm
net933,511.6µm
_32755_,511.12µm
net946,511.11µm
net947,510.59µm
net1605,510.24µm
net670,509.67µm
net696,509.14µm
net1566,508.78µm
net1224,508.6µm
net660,508.305µm
net949,507.79µm
net1135,506.97µm
net1377,506.66µm
net1062,505.56µm
net762,505.355µm
net1339,504.47µm
net1196,503.11µm
net1515,502.53µm
net1130,502.44µm
net1242,502.17µm
net1518,501.8µm
net1330,501.64µm
net982,501.28µm
net1058,501.06µm
net193,500.49µm
net330,500.06µm
net1281,499.21µm
net777,499.08µm
net951,498.57µm
net1385,498.34µm
_30617_,498.17µm
net559,497.28µm
net1016,496.95µm
_32007_,496.86µm
net1031,496.73µm
_32370_,495.39µm
net1116,495.36µm
net1048,495.02µm
net1289,494.5µm
net693,494.22µm
net1210,494.11µm
_33085_,493.82µm
net1571,493.39µm
net746,493.33µm
net1455,493.22µm
net1325,492.9µm
net735,492.695µm
net1559,492.68µm
net821,492µm
net1239,491.675µm
net909,491.45µm
net1215,491.4µm
net1606,490.28µm
net142,489.52µm
net596,488.81µm
net1585,488.45µm
net1052,488.38µm
net1384,488.31µm
net1322,487.64µm
net1214,486.98µm
net727,486.74µm
net669,486.7µm
_32854_,485.89µm
net1390,485.4µm
tea.data_in\[19\],484.39µm
net246,483.77µm
net170,483.4µm
net858,482µm
net882,481.82µm
net1106,481.28µm
net825,481.13µm
net1093,480.94µm
