net,length_um
_06074_,135.54µm
_07420_,135.54µm
_21016_,135.38µm
_10005_,135.32µm
_20390_,135.32µm
_28605_,135.29µm
_03629_,135.27µm
_11793_,135.25µm
_21684_,135.22µm
_25259_,135.22µm
_28092_,135.18µm
net1671,135.18µm
_01484_,135.16µm
net233,135.1µm
_11569_,135.08µm
_16333_,135.035µm
_27695_,134.94µm
net352,134.9µm
_20815_,134.855µm
_37436_,134.805µm
_07502_,134.8µm
_07412_,134.76µm
_22179_,134.595µm
_02680_,134.535µm
_16843_,134.52µm
_16310_,134.5µm
_34354_,134.39µm
_15053_,134.34µm
_36261_,134.22µm
net560,134.22µm
_26600_,134.2µm
_14958_,134.17µm
_01736_,134.165µm
_13213_,134.14µm
_19577_,134.09µm
_01108_,134µm
_15116_,133.82µm
_23333_,133.64µm
net1633,133.64µm
_16950_,133.6µm
_18997_,133.5µm
_23311_,133.48µm
_23093_,133.41µm
_11180_,133.39µm
_20079_,133.26µm
_25539_,133.16µm
_15031_,133.14µm
_22655_,133.11µm
_08654_,133.08µm
_23993_,133.08µm
_36333_,133.04µm
_02949_,132.97µm
net179,132.94µm
_29176_,132.9µm
_09864_,132.8µm
_25187_,132.8µm
_11128_,132.72µm
_29197_,132.695µm
_16957_,132.655µm
net505,132.59µm
_06228_,132.56µm
_27523_,132.56µm
_12476_,132.54µm
_16433_,132.53µm
_36339_,132.48µm
net354,132.4µm
_21882_,132.38µm
net496,132.37µm
_24693_,132.34µm
_07475_,132.32µm
_23276_,132.31µm
_29689_,132.28µm
_06746_,132.255µm
_12552_,132.1µm
_27199_,132.1µm
_08713_,132.06µm
_15075_,132.04µm
_17685_,132.04µm
_12383_,132.02µm
_06774_,132.005µm
_17697_,131.98µm
_23366_,131.94µm
_34433_,131.94µm
_18298_,131.9µm
_13058_,131.855µm
_16442_,131.85µm
_08484_,131.77µm
_36457_,131.58µm
_16424_,131.56µm
_28464_,131.56µm
_36805_,131.52µm
_01725_,131.425µm
_11156_,131.4µm
_27141_,131.4µm
net834,131.36µm
net156,131.3µm
_17096_,131.18µm
_15640_,131.17µm
_34358_,131.16µm
clknet_4_14__leaf_clk,131.12µm
_01310_,131.07µm
_19879_,130.99µm
_26580_,130.92µm
_01441_,130.87µm
_04806_,130.87µm
_25216_,130.86µm
_31173_,130.82µm
_09393_,130.74µm
_14197_,130.74µm
net1749,130.73µm
_27220_,130.64µm
_01027_,130.63µm
_05444_,130.52µm
_06715_,130.41µm
_23585_,130.4µm
_24118_,130.38µm
_37903_,130.33µm
_20715_,130.32µm
_14302_,130.28µm
net478,130.14µm
_15629_,130.1µm
_29882_,130.04µm
net1679,130.03µm
_15556_,129.99µm
_18164_,129.9µm
net490,129.74µm
_10525_,129.72µm
_12427_,129.7µm
_22154_,129.7µm
_06095_,129.63µm
_13276_,129.4µm
_35956_,129.4µm
_00483_,129.38µm
_11670_,129.38µm
_08734_,129.34µm
_00415_,129.3µm
_20299_,129.3µm
_26898_,129.3µm
_32924_,129.28µm
_35007_,129.28µm
net1727,129.25µm
_32823_,129.24µm
_32003_,128.98µm
_32615_,128.94µm
_18123_,128.86µm
_21495_,128.63µm
_11783_,128.605µm
_08140_,128.6µm
_26614_,128.6µm
_32844_,128.6µm
net484,128.595µm
net427,128.56µm
_23079_,128.54µm
_32888_,128.48µm
_02682_,128.46µm
_28366_,128.44µm
_11357_,128.42µm
_36045_,128.42µm
net380,128.3µm
_15174_,128.26µm
_02438_,128.18µm
_33013_,128.14µm
_10516_,128.03µm
_18175_,128.02µm
_27577_,128µm
_15023_,127.97µm
_32652_,127.94µm
_06199_,127.835µm
_18185_,127.83µm
_04722_,127.75µm
_06191_,127.73µm
net23,127.66µm
_03649_,127.6µm
_37577_,127.56µm
_20978_,127.495µm
_32976_,127.48µm
_35625_,127.46µm
_27585_,127.45µm
_26475_,127.44µm
_31004_,127.44µm
_21584_,127.345µm
_04294_,127.34µm
_28735_,127.3µm
net112,127.21µm
_27793_,127.06µm
_28278_,127µm
_30977_,126.95µm
_34678_,126.91µm
_30365_,126.88µm
_36271_,126.88µm
_26648_,126.8µm
_15748_,126.78µm
_28424_,126.76µm
_25991_,126.72µm
_02938_,126.7µm
_06766_,126.635µm
_10555_,126.58µm
_18113_,126.56µm
_22494_,126.56µm
_35566_,126.555µm
_11713_,126.46µm
_00984_,126.28µm
_37234_,126.28µm
net1732,126.28µm
_36795_,126.24µm
_29291_,126.2µm
_15065_,126.14µm
net1411,126.12µm
_10605_,126.095µm
_17180_,126.06µm
_15106_,125.94µm
_17591_,125.84µm
_34999_,125.795µm
_00995_,125.78µm
_37364_,125.78µm
_00372_,125.76µm
_22625_,125.71µm
_13625_,125.65µm
_19443_,125.64µm
_36411_,125.64µm
_14453_,125.625µm
_25752_,125.58µm
net436,125.58µm
_00522_,125.57µm
_02348_,125.52µm
_18877_,125.46µm
_11313_,125.42µm
_04291_,125.4µm
_11968_,125.36µm
_04791_,125.22µm
_15183_,125.17µm
_25720_,125.14µm
_02729_,125.1µm
_16935_,125.08µm
_22693_,125.08µm
_13660_,125.055µm
_00139_,124.92µm
net1000,124.88µm
_12436_,124.85µm
_11804_,124.82µm
_23872_,124.76µm
_29628_,124.665µm
_07297_,124.63µm
_26984_,124.62µm
_17256_,124.58µm
net187,124.58µm
net1728,124.56µm
net1730,124.56µm
_04795_,124.46µm
_08133_,124.46µm
net1009,124.455µm
clknet_4_9__leaf_clk,124.4µm
_30108_,124.38µm
_24558_,124.31µm
_05432_,124.28µm
_06011_,124.25µm
_15001_,124.2µm
net1360,124.1µm
_04631_,124.08µm
_09085_,124.06µm
_03280_,124.055µm
_05556_,124.04µm
_33051_,124µm
_35741_,123.98µm
_08643_,123.91µm
_33272_,123.9µm
_03601_,123.84µm
_34969_,123.82µm
_00016_,123.78µm
_24731_,123.775µm
_01608_,123.74µm
_09217_,123.71µm
_36347_,123.7µm
_12230_,123.69µm
_26634_,123.66µm
_25157_,123.61µm
_30046_,123.51µm
_32304_,123.5µm
_30666_,123.42µm
_08115_,123.36µm
_28170_,123.3µm
_27887_,123.14µm
_21563_,123.12µm
_15159_,123.08µm
_21600_,123.07µm
net13,123.02µm
net1711,123µm
_04748_,122.94µm
_02958_,122.92µm
_17465_,122.92µm
_13736_,122.895µm
_34901_,122.88µm
_09305_,122.86µm
_25829_,122.84µm
_03413_,122.805µm
_22606_,122.76µm
_37426_,122.74µm
_32814_,122.72µm
_01696_,122.64µm
_04775_,122.63µm
_01071_,122.62µm
_10488_,122.595µm
net1751,122.58µm
_35978_,122.5µm
_25886_,122.48µm
_15566_,122.46µm
_22557_,122.46µm
_04858_,122.38µm
_15138_,122.34µm
_20188_,122.3µm
_23765_,122.3µm
_04546_,122.28µm
_28612_,122.24µm
_08693_,122.18µm
_31735_,122.1µm
_22545_,122.08µm
_04112_,122.04µm
_27260_,121.98µm
_19720_,121.97µm
net229,121.96µm
_06219_,121.94µm
_13268_,121.94µm
_22466_,121.92µm
_21546_,121.84µm
_17609_,121.78µm
_11636_,121.74µm
_22324_,121.74µm
_06064_,121.64µm
_11723_,121.63µm
_19146_,121.6µm
_22023_,121.56µm
_30676_,121.52µm
_04742_,121.51µm
_18115_,121.49µm
_18739_,121.42µm
_24187_,121.395µm
_18287_,121.36µm
_35696_,121.36µm
_15744_,121.2µm
_29769_,121.2µm
net1748,121.2µm
_22453_,121.09µm
_12850_,121.05µm
_29394_,121.02µm
_37570_,120.96µm
_24577_,120.89µm
_01463_,120.81µm
_00517_,120.78µm
_11913_,120.74µm
_15735_,120.74µm
_22975_,120.7µm
_01662_,120.68µm
_25974_,120.68µm
_01062_,120.65µm
_13233_,120.62µm
_14520_,120.6µm
net1806,120.58µm
_29583_,120.56µm
_18146_,120.55µm
_14281_,120.48µm
_29065_,120.44µm
_14473_,120.42µm
_14950_,120.34µm
_23982_,120.32µm
_16078_,120.26µm
_27769_,120.14µm
_30813_,120.14µm
_30805_,120.12µm
_27192_,119.97µm
_09679_,119.96µm
_30241_,119.88µm
_11987_,119.86µm
_13689_,119.78µm
_14098_,119.76µm
net1643,119.7µm
_04832_,119.68µm
_17951_,119.68µm
_10795_,119.58µm
_11979_,119.56µm
_20677_,119.53µm
_28041_,119.52µm
_22479_,119.47µm
_26082_,119.43µm
_09227_,119.38µm
net137,119.34µm
net224,119.26µm
net1560,119.26µm
_34900_,119.15µm
_35468_,118.99µm
_03623_,118.9µm
_18856_,118.9µm
_30802_,118.9µm
_20738_,118.865µm
_03726_,118.82µm
_04139_,118.82µm
_17051_,118.75µm
_27626_,118.72µm
_32833_,118.655µm
_13977_,118.54µm
_18153_,118.445µm
_35410_,118.445µm
_14932_,118.34µm
_03630_,118.2µm
_23106_,118.155µm
_09039_,118.14µm
_24134_,118.14µm
_25896_,118.14µm
_32019_,118.14µm
_36914_,118.14µm
_33005_,118.06µm
_12999_,118.04µm
_10624_,118µm
_29267_,117.96µm
_08681_,117.86µm
_06032_,117.845µm
_13296_,117.8µm
_04901_,117.76µm
_33106_,117.66µm
_24170_,117.64µm
_26752_,117.64µm
_27212_,117.62µm
_22425_,117.58µm
_01744_,117.565µm
_24194_,117.56µm
_28779_,117.54µm
_24011_,117.52µm
_36906_,117.52µm
_22348_,117.48µm
_03967_,117.47µm
_32898_,117.4µm
_28343_,117.32µm
_11763_,117.29µm
_20962_,117.24µm
_24648_,117.18µm
_29776_,117.14µm
_33342_,117.06µm
_13871_,117.04µm
_18638_,117µm
_34872_,116.94µm
_13679_,116.89µm
_24567_,116.875µm
_18357_,116.86µm
net486,116.825µm
_05576_,116.81µm
_30868_,116.81µm
_18365_,116.775µm
_36348_,116.71µm
_36439_,116.67µm
_13854_,116.52µm
_17546_,116.46µm
_11167_,116.44µm
_04394_,116.42µm
_20478_,116.42µm
_31340_,116.38µm
_10472_,116.36µm
net956,116.34µm
_16199_,116.22µm
_16913_,116.22µm
_36999_,116.22µm
_09964_,116.16µm
_22886_,116.14µm
_21072_,116.095µm
_08594_,116.09µm
_04842_,115.96µm
_23264_,115.94µm
_00283_,115.92µm
_32339_,115.9µm
_27180_,115.86µm
_07484_,115.84µm
_29456_,115.8µm
_35605_,115.8µm
_15598_,115.795µm
_33076_,115.79µm
_05420_,115.78µm
_30233_,115.76µm
_34415_,115.66µm
net1635,115.62µm
_13126_,115.6µm
_35177_,115.6µm
_02916_,115.52µm
_06053_,115.48µm
_23074_,115.48µm
_36941_,115.41µm
_29455_,115.4µm
_07995_,115.38µm
_05723_,115.36µm
_19435_,115.345µm
_20872_,115.3µm
net479,115.3µm
_08126_,115.26µm
_22171_,115.26µm
_08400_,115.22µm
_29591_,115.15µm
_26394_,115.11µm
_29968_,115.09µm
_16891_,114.96µm
_09023_,114.9µm
_29406_,114.9µm
_37694_,114.88µm
_29098_,114.86µm
_36340_,114.86µm
_31474_,114.84µm
_04248_,114.82µm
_07392_,114.8µm
_28526_,114.74µm
_04894_,114.72µm
_23961_,114.7µm
_32680_,114.7µm
_08422_,114.64µm
_28937_,114.625µm
_03668_,114.6µm
_29089_,114.56µm
_18873_,114.54µm
net998,114.54µm
_27024_,114.51µm
_10053_,114.49µm
_00361_,114.34µm
_22702_,114.34µm
net485,114.34µm
_28390_,114.32µm
_13115_,114.28µm
_21554_,114.28µm
_30111_,114.2µm
_35900_,114.14µm
_17560_,114.06µm
_05381_,114.035µm
_04227_,113.97µm
_24723_,113.97µm
_20241_,113.96µm
_00340_,113.94µm
_15717_,113.94µm
net113,113.92µm
_05391_,113.88µm
_04306_,113.78µm
_22125_,113.765µm
_11347_,113.74µm
_09397_,113.655µm
_21975_,113.645µm
net52,113.62µm
_10478_,113.56µm
_33497_,113.56µm
_21910_,113.54µm
_02318_,113.5µm
net1796,113.46µm
_08682_,113.42µm
_08743_,113.4µm
_13259_,113.37µm
_34883_,113.36µm
_35642_,113.36µm
_04820_,113.28µm
_20990_,113.26µm
_36252_,113.185µm
_28246_,113.16µm
_17191_,113.09µm
_28086_,113.045µm
_33720_,113.04µm
_17661_,112.98µm
_34971_,112.98µm
_09327_,112.92µm
_04282_,112.87µm
_09314_,112.82µm
_24179_,112.82µm
_07985_,112.795µm
_22668_,112.68µm
_02307_,112.66µm
_03641_,112.66µm
_04266_,112.66µm
_02357_,112.64µm
_15765_,112.62µm
_36221_,112.61µm
_31354_,112.545µm
_08285_,112.48µm
_25402_,112.44µm
_30279_,112.38µm
_28623_,112.3µm
_09693_,112.26µm
_02796_,112.185µm
net1001,112.12µm
net950,112.1µm
_09437_,112.04µm
_06823_,112.02µm
_32396_,111.94µm
_13252_,111.93µm
_25827_,111.89µm
_23750_,111.885µm
_09052_,111.88µm
_13744_,111.76µm
_04051_,111.7µm
_21592_,111.68µm
_37493_,111.655µm
_10719_,111.62µm
_16606_,111.54µm
_36816_,111.48µm
_17172_,111.46µm
_19661_,111.45µm
_16882_,111.38µm
_28766_,111.36µm
_20308_,111.28µm
_04783_,111.24µm
_25786_,111.24µm
_21395_,111.22µm
_09388_,111.11µm
_34959_,111.06µm
_08751_,110.96µm
_06812_,110.94µm
_11859_,110.93µm
_06857_,110.91µm
_25251_,110.86µm
_32407_,110.77µm
_28181_,110.46µm
_29983_,110.46µm
_28611_,110.38µm
net480,110.34µm
_16298_,110.32µm
_07973_,110.3µm
_02775_,110.29µm
_17691_,110.28µm
_01091_,110.24µm
_30768_,110.19µm
_03447_,110.18µm
_34664_,110.15µm
_20983_,110.12µm
_22000_,109.88µm
_00536_,109.8µm
_17653_,109.8µm
_11334_,109.78µm
_06866_,109.775µm
_01917_,109.76µm
_34980_,109.74µm
_35575_,109.64µm
_18302_,109.6µm
_27181_,109.6µm
_16351_,109.56µm
_03658_,109.52µm
_08714_,109.52µm
_15618_,109.52µm
_21809_,109.52µm
_31293_,109.52µm
_08632_,109.5µm
_27569_,109.5µm
_09855_,109.46µm
_28230_,109.43µm
_36192_,109.38µm
_25270_,109.36µm
_26089_,109.33µm
_02337_,109.26µm
_07744_,109.18µm
_01677_,109.16µm
_33019_,109.06µm
_15725_,109.045µm
_01678_,109.04µm
_17570_,109.04µm
_24201_,109µm
_28615_,108.92µm
_29503_,108.89µm
_28335_,108.86µm
_04763_,108.84µm
net1650,108.83µm
_18851_,108.82µm
_00181_,108.78µm
_02701_,108.78µm
_23738_,108.78µm
_26684_,108.78µm
net442,108.78µm
_15801_,108.7µm
_21832_,108.635µm
_11813_,108.63µm
_08663_,108.6µm
_04658_,108.56µm
_36423_,108.45µm
_02968_,108.36µm
_06841_,108.34µm
_33067_,108.32µm
_22616_,108.3µm
_04766_,108.28µm
_19732_,108.21µm
_13093_,108.18µm
_05891_,108.16µm
_22440_,108.16µm
_20686_,108.105µm
_08162_,108.04µm
_09337_,108.04µm
_21785_,108.04µm
_22824_,108.02µm
_06116_,108µm
_15587_,108µm
_22597_,108µm
net1777,107.98µm
_26485_,107.9µm
_31437_,107.87µm
_23159_,107.74µm
_34950_,107.73µm
_22799_,107.4µm
_35259_,107.34µm
_01685_,107.3µm
_10635_,107.18µm
_16854_,107.18µm
_01675_,107.17µm
_00969_,107.16µm
_11197_,107.16µm
_36833_,107.15µm
_21691_,107.14µm
_27559_,107.04µm
_21463_,106.96µm
_29947_,106.95µm
_14384_,106.86µm
_28670_,106.8µm
_35958_,106.73µm
_24165_,106.71µm
_34990_,106.7µm
_01553_,106.68µm
_24769_,106.66µm
_08246_,106.64µm
_25347_,106.64µm
_08432_,106.61µm
_30325_,106.48µm
net1674,106.38µm
_25777_,106.34µm
_31557_,106.34µm
_10576_,106.32µm
_09168_,106.3µm
_27406_,106.25µm
_14339_,106.245µm
_04183_,106.24µm
_06166_,106.22µm
_03923_,106.1µm
_13223_,105.99µm
_22114_,105.97µm
_23724_,105.94µm
_00404_,105.92µm
_28432_,105.89µm
_08704_,105.88µm
_19547_,105.87µm
_07772_,105.76µm
_01655_,105.74µm
_24004_,105.58µm
_09208_,105.555µm
_11609_,105.54µm
_05754_,105.52µm
_24550_,105.515µm
_22163_,105.45µm
_31641_,105.4µm
tea.data_in\[59\],105.38µm
_24646_,105.36µm
_18051_,105.35µm
_00272_,105.28µm
_34016_,105.28µm
net1684,105.28µm
_13189_,105.26µm
_25276_,105.26µm
_12286_,105.22µm
_14540_,105.21µm
_23847_,105.16µm
_22141_,105.1µm
_21881_,105.02µm
_23234_,104.985µm
_13603_,104.965µm
_04876_,104.92µm
_20256_,104.92µm
_27992_,104.91µm
_04237_,104.76µm
_19414_,104.76µm
_36920_,104.74µm
net1008,104.7µm
_31746_,104.64µm
_36431_,104.61µm
_06848_,104.56µm
_24752_,104.54µm
_06696_,104.5µm
_29666_,104.4µm
_15784_,104.395µm
_30662_,104.38µm
_27035_,104.37µm
_36001_,104.36µm
_35556_,104.35µm
_33560_,104.32µm
_17163_,104.3µm
_04712_,104.26µm
_36123_,104.22µm
tea.data_in\[2\],104.22µm
_16668_,104.14µm
_09663_,104.02µm
net399,104.02µm
_04142_,103.94µm
_02580_,103.88µm
_00378_,103.82µm
_31974_,103.82µm
_33329_,103.78µm
_19650_,103.5µm
_02271_,103.48µm
_11864_,103.42µm
_36356_,103.42µm
tea.data_in\[0\],103.36µm
_26273_,103.34µm
_20567_,103.26µm
_07965_,103.24µm
_28032_,103.24µm
_14512_,103.2µm
_23890_,103.18µm
_16402_,103.08µm
_36173_,103.07µm
_18777_,103.04µm
_09139_,103.03µm
_33120_,103.02µm
net1797,103.02µm
_23898_,103µm
_06686_,102.98µm
_31549_,102.92µm
_00528_,102.87µm
_14272_,102.86µm
_21989_,102.82µm
_26726_,102.78µm
_37645_,102.73µm
_12258_,102.72µm
_18143_,102.72µm
_35633_,102.68µm
_29730_,102.645µm
_02286_,102.62µm
_24028_,102.6µm
_28416_,102.59µm
_02764_,102.545µm
_16917_,102.52µm
_05409_,102.5µm
_11622_,102.5µm
net1773,102.495µm
net76,102.48µm
tea.data_in\[56\],102.46µm
_36282_,102.43µm
net1768,102.41µm
_24520_,102.325µm
_18373_,102.28µm
_00670_,102.26µm
_36971_,102.22µm
_12244_,102.18µm
_21816_,102.16µm
_29563_,102.12µm
_06757_,102.08µm
_27435_,102µm
_03718_,101.95µm
_01813_,101.92µm
_03610_,101.88µm
_35149_,101.78µm
_04885_,101.62µm
_18441_,101.55µm
_16401_,101.54µm
_28460_,101.54µm
_21773_,101.5µm
_27421_,101.5µm
_30409_,101.5µm
_28989_,101.44µm
_20536_,101.41µm
_32922_,101.36µm
_31076_,101.32µm
_17155_,101.27µm
_26016_,101.25µm
tea.data_in\[63\],101.24µm
_14484_,101.14µm
_32361_,101.1µm
_02496_,101.04µm
_33369_,101.01µm
_20997_,100.955µm
_21800_,100.88µm
_24715_,100.88µm
_21278_,100.84µm
_25337_,100.84µm
_06833_,100.78µm
_10727_,100.76µm
_21917_,100.66µm
_13809_,100.64µm
_09445_,100.58µm
_23476_,100.515µm
net158,100.5µm
_16414_,100.48µm
_06792_,100.46µm
_10033_,100.46µm
_31039_,100.42µm
_11875_,100.38µm
net1630,100.36µm
_22060_,100.3µm
_16812_,100.26µm
_33742_,100.24µm
_00811_,100.16µm
_37555_,100.16µm
_30793_,100.15µm
_18908_,100.14µm
_08381_,100.1µm
_12418_,100.08µm
_27046_,100.06µm
_28407_,99.96µm
_15067_,99.94µm
_08816_,99.92µm
_36228_,99.9µm
_17504_,99.88µm
_36044_,99.86µm
_02734_,99.82µm
_23841_,99.71µm
_25998_,99.54µm
_35059_,99.54µm
_29885_,99.52µm
_05548_,99.5µm
_15791_,99.5µm
_22058_,99.48µm
_00977_,99.46µm
_03598_,99.42µm
_13701_,99.36µm
_11594_,99.3µm
_36366_,99.24µm
_10052_,99.22µm
_09610_,99.2µm
net1645,99.19µm
_26007_,99.18µm
net1,99.16µm
_09994_,99.14µm
_08928_,99.12µm
_31652_,99.12µm
_30090_,99.08µm
_37362_,99.08µm
_32668_,99.01µm
_27516_,99µm
net1772,98.98µm
_32205_,98.96µm
_08125_,98.9µm
_31366_,98.9µm
_13594_,98.87µm
_16925_,98.84µm
_04174_,98.82µm
_11351_,98.78µm
_12603_,98.78µm
_08345_,98.76µm
_26024_,98.75µm
_01139_,98.7µm
_19651_,98.7µm
_35156_,98.68µm
_16463_,98.66µm
_15576_,98.65µm
_34000_,98.65µm
_30677_,98.64µm
_25243_,98.56µm
_34769_,98.56µm
_07953_,98.53µm
_12273_,98.51µm
_29839_,98.505µm
_20229_,98.5µm
_00174_,98.48µm
_04265_,98.46µm
_36896_,98.4µm
_08499_,98.36µm
_16362_,98.36µm
_32406_,98.36µm
_24001_,98.2µm
_26757_,98.2µm
_02398_,98.16µm
_07943_,98.14µm
_11580_,98.14µm
_31529_,98.12µm
_34850_,98.09µm
_20013_,98.08µm
_08052_,98.06µm
_33058_,98.04µm
_17287_,97.92µm
net1774,97.89µm
_19556_,97.88µm
_04771_,97.86µm
_34312_,97.84µm
_34363_,97.84µm
_26104_,97.83µm
_36933_,97.78µm
_13490_,97.76µm
_22059_,97.76µm
_13202_,97.735µm
_08702_,97.66µm
net509,97.64µm
_27227_,97.58µm
_37028_,97.56µm
_13306_,97.54µm
_26523_,97.53µm
_06736_,97.49µm
net745,97.48µm
_20862_,97.44µm
_37539_,97.4µm
_04966_,97.26µm
_36197_,97.26µm
_20892_,97.22µm
_07288_,97.18µm
_20749_,97.16µm
net1663,97.08µm
_37528_,97.02µm
_36455_,96.885µm
_00388_,96.76µm
_29560_,96.7µm
_13531_,96.68µm
_25003_,96.68µm
net431,96.68µm
_26860_,96.66µm
_05123_,96.61µm
_27188_,96.61µm
_26437_,96.54µm
_31169_,96.48µm
_37709_,96.48µm
net1658,96.42µm
_37885_,96.39µm
_21390_,96.38µm
_22191_,96.34µm
_29468_,96.34µm
_17514_,96.275µm
_20669_,96.22µm
_26996_,96.22µm
_31909_,96.18µm
_08932_,96.165µm
_35585_,96.12µm
_23710_,96.04µm
_01163_,96.02µm
_04854_,96µm
net235,95.98µm
_19536_,95.9µm
_07759_,95.88µm
_36873_,95.88µm
_07974_,95.84µm
_27096_,95.84µm
_16343_,95.82µm
_01666_,95.75µm
_20008_,95.72µm
_06675_,95.66µm
clknet_4_3__leaf_clk,95.66µm
_09198_,95.54µm
_00169_,95.5µm
_08823_,95.5µm
_20874_,95.43µm
_36210_,95.42µm
_33313_,95.37µm
_09773_,95.36µm
_27466_,95.36µm
_19946_,95.32µm
_24989_,95.32µm
_30935_,95.26µm
_11855_,95.24µm
_23468_,95.24µm
_24975_,95.2µm
_25287_,95.18µm
_22200_,95.12µm
_01927_,95.08µm
_31734_,95µm
_07542_,94.88µm
_26043_,94.86µm
_27251_,94.83µm
_27927_,94.78µm
net395,94.72µm
_28522_,94.68µm
_33988_,94.68µm
_23226_,94.67µm
_37395_,94.66µm
_32313_,94.64µm
_34750_,94.62µm
_09358_,94.6µm
_28022_,94.58µm
_30273_,94.58µm
_10014_,94.54µm
_28198_,94.52µm
_28627_,94.5µm
_19726_,94.46µm
_34895_,94.46µm
_05938_,94.42µm
_35722_,94.42µm
_31723_,94.4µm
_05539_,94.38µm
_02197_,94.32µm
_25148_,94.24µm
_01217_,94.22µm
_08004_,94.22µm
_28214_,94.205µm
_02297_,94.2µm
_20726_,94.19µm
_26604_,94.18µm
_30503_,94.18µm
_25271_,94.14µm
_00409_,94.12µm
_14291_,94.02µm
_34810_,93.98µm
_11841_,93.92µm
_32908_,93.92µm
_04210_,93.885µm
_32080_,93.68µm
_16682_,93.675µm
_36134_,93.66µm
_22093_,93.56µm
_10044_,93.55µm
_03043_,93.54µm
_31393_,93.53µm
_13519_,93.52µm
_15754_,93.52µm
_08178_,93.5µm
net1729,93.5µm
net135,93.48µm
_30730_,93.46µm
_03659_,93.44µm
_13671_,93.41µm
_08419_,93.4µm
_16926_,93.32µm
_34650_,93.32µm
_13814_,93.3µm
_29302_,93.2µm
_26076_,93.14µm
_01611_,93.12µm
_35069_,93.11µm
_29026_,93.02µm
_35544_,92.99µm
_15825_,92.88µm
_23324_,92.82µm
_14992_,92.78µm
_35732_,92.76µm
_35533_,92.72µm
_07102_,92.71µm
_08584_,92.64µm
_24216_,92.64µm
_31520_,92.615µm
_20251_,92.6µm
_19032_,92.505µm
_01450_,92.5µm
_18277_,92.38µm
_18292_,92.34µm
_17921_,92.32µm
_12879_,92.24µm
_27642_,92.24µm
_34940_,92.24µm
_23972_,92.18µm
_23243_,92.05µm
_18893_,92.04µm
_02072_,92.02µm
_23881_,91.98µm
_11277_,91.88µm
_04899_,91.86µm
_16089_,91.84µm
_15775_,91.8µm
_10042_,91.78µm
_01714_,91.72µm
_04945_,91.68µm
_05293_,91.62µm
_27150_,91.62µm
_28841_,91.54µm
_01228_,91.52µm
_27326_,91.52µm
_14493_,91.5µm
_17459_,91.48µm
_04867_,91.44µm
_36094_,91.44µm
_35188_,91.4µm
_31690_,91.39µm
_12457_,91.34µm
_18395_,91.26µm
_13389_,91.2µm
_36646_,91.16µm
_32118_,91.13µm
_21673_,91.12µm
_15010_,91.06µm
_17494_,90.96µm
_31724_,90.96µm
_37286_,90.96µm
_26664_,90.94µm
_23460_,90.9µm
_00641_,90.88µm
_19652_,90.88µm
_12711_,90.86µm
net180,90.86µm
_23433_,90.855µm
_23452_,90.795µm
_05253_,90.76µm
_09420_,90.76µm
_32877_,90.74µm
_05361_,90.7µm
_11145_,90.69µm
_37875_,90.68µm
tea.data_in\[51\],90.66µm
_28381_,90.6µm
net697,90.59µm
_06137_,90.58µm
_35665_,90.58µm
_13545_,90.56µm
_11823_,90.5µm
_01819_,90.48µm
net157,90.46µm
_35869_,90.39µm
_35049_,90.37µm
_36235_,90.36µm
_00295_,90.34µm
_28402_,90.305µm
_33879_,90.3µm
_12649_,90.28µm
_02000_,90.24µm
_35970_,90.17µm
_20510_,90.14µm
_28990_,90.1µm
_15231_,90.08µm
_29022_,89.98µm
_24576_,89.9µm
_29384_,89.86µm
_37615_,89.8µm
_28848_,89.78µm
_36764_,89.78µm
_34998_,89.74µm
_13505_,89.72µm
_34831_,89.7µm
_09775_,89.68µm
_14918_,89.58µm
_01672_,89.56µm
_05481_,89.56µm
_14215_,89.56µm
_16863_,89.56µm
_03685_,89.48µm
_09399_,89.46µm
_23990_,89.42µm
_36938_,89.42µm
_24483_,89.4µm
_27106_,89.38µm
_02922_,89.34µm
_15099_,89.3µm
_07801_,89.29µm
_16415_,89.24µm
net443,89.24µm
_27449_,89.205µm
_10462_,89.2µm
_13039_,89.2µm
net1677,89.12µm
_12410_,89.07µm
_24081_,89.04µm
net362,89.03µm
_20110_,89µm
_09349_,88.96µm
_15363_,88.94µm
_31756_,88.94µm
_32460_,88.93µm
_05566_,88.92µm
_34868_,88.92µm
net175,88.9µm
_11746_,88.88µm
_20070_,88.88µm
_22123_,88.88µm
_12697_,88.815µm
_11271_,88.8µm
_26006_,88.76µm
_33030_,88.74µm
_20705_,88.72µm
_03402_,88.7µm
_04201_,88.7µm
_23505_,88.7µm
_27617_,88.68µm
_08408_,88.58µm
_31689_,88.5µm
_21674_,88.48µm
_14392_,88.44µm
_06802_,88.43µm
_20523_,88.42µm
_35942_,88.41µm
_03705_,88.36µm
_26094_,88.36µm
_04161_,88.3µm
net1007,88.3µm
_29520_,88.26µm
_04623_,88.22µm
_11890_,88.2µm
_06631_,88.15µm
_14605_,88.14µm
_11056_,88.12µm
_20927_,88.075µm
_15946_,88.06µm
_37259_,88.06µm
net51,88.04µm
_07268_,88.005µm
_22133_,87.94µm
_36182_,87.91µm
_02971_,87.9µm
_02208_,87.84µm
_04191_,87.745µm
_23443_,87.69µm
_35523_,87.68µm
_18768_,87.64µm
net1700,87.6µm
_36046_,87.58µm
_14433_,87.51µm
_16999_,87.465µm
_15733_,87.46µm
_16216_,87.42µm
